Wave,SiteID,Date,Weather,Time,Count
2023 W1 spring,ML0001,22/06/2023,Dry,10:45:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,12:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,14:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,15:00:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,19:30:00,1
2023 W1 spring,ML0001,22/06/2023,Dry,06:00:00,3
2023 W1 spring,ML0001,22/06/2023,Dry,06:15:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,06:30:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,06:45:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,07:15:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,07:30:00,40
2023 W1 spring,ML0001,22/06/2023,Dry,07:45:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,08:00:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,08:15:00,35
2023 W1 spring,ML0001,22/06/2023,Dry,08:30:00,31
2023 W1 spring,ML0001,22/06/2023,Dry,08:45:00,52
2023 W1 spring,ML0001,22/06/2023,Dry,09:15:00,29
2023 W1 spring,ML0001,22/06/2023,Dry,09:30:00,34
2023 W1 spring,ML0001,22/06/2023,Dry,10:00:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,10:15:00,10
2023 W1 spring,ML0001,22/06/2023,Dry,10:30:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,10:45:00,9
2023 W1 spring,ML0001,22/06/2023,Dry,11:15:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,11:30:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,11:45:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,12:00:00,21
2023 W1 spring,ML0001,22/06/2023,Dry,12:15:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,12:30:00,18
2023 W1 spring,ML0001,22/06/2023,Dry,12:45:00,12
2023 W1 spring,ML0001,22/06/2023,Dry,13:00:00,19
2023 W1 spring,ML0001,22/06/2023,Dry,13:15:00,20
2023 W1 spring,ML0001,22/06/2023,Dry,13:30:00,16
2023 W1 spring,ML0001,22/06/2023,Dry,13:45:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,14:00:00,23
2023 W1 spring,ML0001,22/06/2023,Dry,14:15:00,32
2023 W1 spring,ML0001,22/06/2023,Dry,14:30:00,22
2023 W1 spring,ML0001,22/06/2023,Dry,14:45:00,24
2023 W1 spring,ML0001,22/06/2023,Dry,15:00:00,26
2023 W1 spring,ML0001,22/06/2023,Dry,15:15:00,32
2023 W1 spring,ML0001,22/06/2023,Dry,15:30:00,52
2023 W1 spring,ML0001,22/06/2023,Dry,15:45:00,46
2023 W1 spring,ML0001,22/06/2023,Dry,16:00:00,42
2023 W1 spring,ML0001,22/06/2023,Dry,16:15:00,67
2023 W1 spring,ML0001,22/06/2023,Dry,16:30:00,58
2023 W1 spring,ML0001,22/06/2023,Dry,16:45:00,93
2023 W1 spring,ML0001,22/06/2023,Dry,17:00:00,120
2023 W1 spring,ML0001,22/06/2023,Dry,17:15:00,151
2023 W1 spring,ML0001,22/06/2023,Dry,17:30:00,171
